finger table of Node	127.0.0.1:10000 is
 3310714197312960420	---->	127.0.0.1:10000
 3310714197312960421	---->	127.0.0.1:10000
 3310714197312960423	---->	127.0.0.1:10000
 3310714197312960427	---->	127.0.0.1:10000
 3310714197312960435	---->	127.0.0.1:10000
 3310714197312960451	---->	127.0.0.1:10000
 3310714197312960483	---->	127.0.0.1:10000
 3310714197312960547	---->	127.0.0.1:10000
 3310714197312960675	---->	127.0.0.1:10000
 3310714197312960931	---->	127.0.0.1:10000
 3310714197312961443	---->	127.0.0.1:10000
 3310714197312962467	---->	127.0.0.1:10000
 3310714197312964515	---->	127.0.0.1:10000
 3310714197312968611	---->	127.0.0.1:10000
 3310714197312976803	---->	127.0.0.1:10000
 3310714197312993187	---->	127.0.0.1:10000
 3310714197313025955	---->	127.0.0.1:10000
 3310714197313091491	---->	127.0.0.1:10000
 3310714197313222563	---->	127.0.0.1:10000
 3310714197313484707	---->	127.0.0.1:10000
 3310714197314008995	---->	127.0.0.1:10000
 3310714197315057571	---->	127.0.0.1:10000
 3310714197317154723	---->	127.0.0.1:10000
 3310714197321349027	---->	127.0.0.1:10000
 3310714197329737635	---->	127.0.0.1:10000
 3310714197346514851	---->	127.0.0.1:10000
 3310714197380069283	---->	127.0.0.1:10000
 3310714197447178147	---->	127.0.0.1:10000
 3310714197581395875	---->	127.0.0.1:10000
 3310714197849831331	---->	127.0.0.1:10000
 3310714198386702243	---->	127.0.0.1:10000
 3310714199460444067	---->	127.0.0.1:10000
 3310714201607927715	---->	127.0.0.1:10000
 3310714205902895011	---->	127.0.0.1:10000
 3310714214492829603	---->	127.0.0.1:10000
 3310714231672698787	---->	127.0.0.1:10000
 3310714266032437155	---->	127.0.0.1:10000
 3310714334751913891	---->	127.0.0.1:10000
 3310714472190867363	---->	127.0.0.1:10000
 3310714747068774307	---->	127.0.0.1:10000
 3310715296824588195	---->	127.0.0.1:10000
 3310716396336215971	---->	127.0.0.1:10000
 3310718595359471523	---->	127.0.0.1:10000
 3310722993405982627	---->	127.0.0.1:10000
 3310731789499004835	---->	127.0.0.1:10000
 3310749381685049251	---->	127.0.0.1:10000
 3310784566057138083	---->	127.0.0.1:10000
 3310854934801315747	---->	127.0.0.1:10000
 3310995672289671075	---->	127.0.0.1:10000
 3311277147266381731	---->	127.0.0.1:10000
 3311840097219803043	---->	127.0.0.1:10000
 3312965997126645667	---->	127.0.0.1:10000
 3315217796940330915	---->	127.0.0.1:10000
 3319721396567701411	---->	127.0.0.1:10000
 3328728595822442403	---->	127.0.0.1:10000
 3346742994331924387	---->	127.0.0.1:10000
 3382771791350888355	---->	127.0.0.1:10000
 3454829385388816291	---->	127.0.0.1:10000
 3598944573464672163	---->	127.0.0.1:10000
 3887174949616383907	---->	127.0.0.1:10000
 4463635701919807395	---->	127.0.0.1:10000
 5616557206526654371	---->	127.0.0.1:10000
 7922400215740348323	---->	127.0.0.1:10000
12534086234167736227	---->	127.0.0.1:10000
